Gemeente;open vld;N-VA;VLAAMS BELANG;CD&V;PVDA;GROEN;SP.A;DierAnimal;de coöperatie;RP;Be.One;UF;PRO;PV&S;D-SA;Piratenpartij;Genoeg vr iedereen;Burgerlijst;sp.a-one.brussels
Harelbeke;2438;3084;4383;3902;726;1282;3077;147;0;0;0;0;0;0;0;75;0;0;0
Hasselt;6110;13609;7444;7808;3858;5553;6896;0;0;65;0;0;138;0;96;0;0;0;0
Hechtel-Eksel;1798;1587;1621;1239;399;542;620;0;0;10;0;0;16;0;17;0;0;0;0
Heers;1051;821;1070;758;205;215;983;0;0;6;0;0;2;0;2;0;0;0;0
Heist-op-den-Berg;3038;8501;6959;3960;1599;2213;2564;287;0;0;14;0;0;6;11;72;96;50;0
Hemiksem;541;2092;1670;701;475;653;865;74;0;0;2;0;0;10;7;35;17;7;0
Herent;2159;4038;1444;2003;686;2734;1321;90;0;0;0;19;39;0;0;0;0;0;0
Herentals;1670;5354;3938;2339;937;1884;2369;191;0;0;5;0;0;9;6;79;58;71;0
Herenthout;720;1762;1247;1017;302;431;563;69;0;0;5;0;0;3;5;28;10;9;0
Herk-de-Stad;1145;2083;1392;1503;366;639;1609;0;0;19;0;0;27;0;9;0;0;0;0
Herne;495;821;615;1868;111;292;267;41;0;0;0;67;18;0;0;0;0;0;0
Herselt;829;2913;2616;1397;519;680;694;110;0;0;4;0;0;9;5;40;37;14;0
Herstappe;19;9;5;13;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0
Herzele;3661;2276;2958;1131;401;751;1344;104;8;8;11;0;0;0;0;0;0;0;0
Heusden-Zolder;1699;4724;3980;3768;1069;1420;3754;0;0;22;0;0;45;0;424;0;0;0;0
Heuvelland;794;785;1012;1375;220;359;531;41;0;0;0;0;0;0;0;36;0;0;0
Hoegaarden;740;1090;573;805;234;583;484;61;0;0;0;11;13;0;0;0;0;0;0
Hoeilaart;2132;1222;364;620;213;1048;283;92;0;0;0;305;27;0;0;0;0;0;0
Hoeselt;906;1595;1495;1163;277;516;566;0;0;15;0;0;7;0;7;0;0;0;0
Holsbeek;1022;1884;801;1114;304;1021;595;51;0;0;0;6;8;0;0;0;0;0;0
Hooglede;878;1345;1336;1928;174;433;579;51;0;0;0;0;0;0;0;28;0;0;0
Hoogstraten;1993;3388;1738;2069;277;1004;388;45;0;0;1;0;0;7;3;25;12;10;0
Horebeke;389;309;217;143;40;182;85;8;1;2;2;0;0;0;0;0;0;0;0
Houthalen-Helchteren;1312;3596;4068;2988;1640;1267;3695;0;0;15;0;0;46;0;82;0;0;0;0
Houthulst;814;907;1962;1755;164;184;696;41;0;0;0;0;0;0;0;34;0;0;0
Hove;889;2359;469;576;271;841;255;46;0;0;3;0;0;3;2;34;2;1;0
Huldenberg;1521;1582;733;815;229;841;373;84;0;0;0;57;19;0;0;0;0;0;0
Hulshout;526;1889;1987;1334;393;407;493;90;0;0;7;0;0;5;1;23;24;11;0
Ichtegem;1436;1228;2332;2483;258;446;1355;81;0;0;0;0;0;0;0;51;0;0;0
Ieper;4473;3226;4386;5559;742;1606;2950;172;0;0;0;0;0;0;0;119;0;0;0
